xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,xCoordPress6,yCoordPress6,xCoordRelease6,yCoordRelease6,pressPressure6,releasePressure6,holdTime6,HPP6,offSet6,xCoordPress7,yCoordPress7,xCoordRelease7,yCoordRelease7,pressPressure7,releasePressure7,holdTime7,HPP7,offSet7,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,PPTime5,UDTime5,PPTime6,UDTime6
69.0,78.0,69.0,78.0,0.172549024224281,0.172549024224281,0.09,0.01552941218018529,15.660459763365825,50.0,53.0,50.0,53.0,0.18823531270027202,0.18823531270027202,0.1,0.018823531270027203,29.769951293208393,10.0,79.0,13.920684814453098,77.0396728515625,0.20000001788139302,0.176470592617989,0.091,0.018200001627206763,40.44955720784066,36.0,98.0,36.0,98.0,0.176470592617989,0.176470592617989,0.092,0.01623529452085499,23.753947040439407,58.0,88.0,58.0,88.0,0.18823531270027202,0.18823531270027202,0.091,0.017129413455724753,6.800735254367722,64.0,100.0,59.0,104.0,0.176470592617989,0.105882361531258,0.074,0.013058823853731185,22.073740054644116,37.0,76.0,37.0,76.0,0.160784319043159,0.160784319043159,0.084,0.013505882799625358,18.200274723201296,28.0,101.0,38.0,95.0,0.20000001788139302,0.18431372940540303,0.074,0.014800001323223082,20.303940504246953,0.324,0.234,0.525,0.425,0.333,0.242,0.459,0.367,0.417,0.326,0.341,0.267,0.426,0.342
64.0,76.0,64.0,76.0,0.172549024224281,0.172549024224281,0.108,0.018635294616222348,11.926860441876563,5.0,98.0,5.0,98.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,51.39309292113095,25.0,123.0,25.0,123.0,0.180392161011696,0.180392161011696,0.108,0.019482353389263168,49.81214711292819,16.0,122.0,16.0,122.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,54.811039034121585,31.0,135.0,37.8103179931641,132.081298828125,0.20000001788139302,0.11764706671237898,0.066,0.01320000118017194,52.15755934633345,67.0,127.0,67.0,127.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,46.360004314063644,29.0,115.0,29.0,115.0,0.168627455830574,0.168627455830574,0.082,0.01382745137810707,41.00304866714181,10.0,111.0,27.0,107.0,0.18823531270027202,0.176470592617989,0.066,0.012423530638217955,36.45888094826828,0.392,0.284,0.725,0.634,0.417,0.309,0.75,0.667,0.383,0.317,0.234,0.168,0.975,0.893
58.0,104.0,58.0,104.0,0.172549024224281,0.172549024224281,0.1,0.017254902422428102,21.86892772862904,47.0,125.0,47.0,125.0,0.18431372940540303,0.18431372940540303,0.1,0.018431372940540303,43.072613108563544,71.0,79.0,71.0,79.0,0.18823531270027202,0.18823531270027202,0.091,0.017129413455724753,17.356554957709783,55.0,77.0,55.0,77.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,5.5901699437494745,61.0,114.0,98.0,99.0,0.203921586275101,0.180392161011696,0.099,0.020188237041235003,46.99202059924642,42.0,102.0,42.0,102.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,22.89650628371062,39.0,91.0,39.0,91.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,17.240939649566666,44.0,124.0,46.9248657226563,123.025024414063,0.19215688109397897,0.176470592617989,0.082,0.015756864249706275,41.138001030711806,0.35,0.25,0.559,0.459,0.341,0.25,0.459,0.376,0.375,0.276,0.308,0.217,1.127,1.061
61.0,70.0,61.0,70.0,0.164705887436867,0.164705887436867,0.066,0.010870588570833223,14.326548781894402,55.0,102.0,55.0,102.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,19.525624189766635,40.0,92.0,40.0,92.0,0.18823531270027202,0.18823531270027202,0.057,0.010729412823915506,16.91892431568863,49.0,105.0,49.0,105.0,0.176470592617989,0.176470592617989,0.082,0.014470588594675099,23.04886114323222,46.0,107.0,46.0,107.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,25.773047937719745,41.0,116.0,41.0,116.0,0.172549024224281,0.172549024224281,0.091,0.01570196120440957,35.9339672176619,49.0,82.0,49.0,82.0,0.172549024224281,0.172549024224281,0.091,0.01570196120440957,5.024937810560445,41.0,114.0,44.0,113.0,0.19607844948768602,0.176470592617989,0.092,0.018039217352867114,32.09750769140807,0.342,0.276,0.442,0.351,0.35,0.293,0.475,0.393,0.4,0.334,0.275,0.184,0.867,0.776
64.0,78.0,64.0,78.0,0.172549024224281,0.172549024224281,0.092,0.015874510228633853,10.965856099730654,34.0,81.0,34.0,81.0,0.18431372940540303,0.18431372940540303,0.1,0.018431372940540303,20.05617112013158,55.0,103.0,55.0,103.0,0.18431372940540303,0.18431372940540303,0.074,0.013639215975999824,20.524375751773793,56.0,107.0,56.0,107.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,24.58149710656371,53.0,120.0,53.0,120.0,0.19607844948768602,0.19607844948768602,0.075,0.01470588371157645,37.51333096380539,36.0,100.0,36.0,102.0,0.152941182255745,0.0980392247438431,0.092,0.01407058876752854,26.537709019431198,44.0,133.0,44.0,133.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,51.480578862324386,18.0,128.0,18.0,128.0,0.19215688109397897,0.19215688109397897,0.066,0.012682354152202611,58.01939330947886,0.3,0.208,0.493,0.393,0.35,0.276,0.408,0.325,0.358,0.283,0.292,0.2,0.584,0.518
55.0,107.0,55.0,107.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,24.520399670478458,45.0,72.0,45.0,72.0,0.18431372940540303,0.18431372940540303,0.108,0.019905882775783527,13.82931668593933,7.0,111.0,17.0,106.0,0.19215688109397897,0.160784319043159,0.058,0.011145099103450781,43.83206588788623,42.0,121.0,42.0,121.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,40.326790102858425,60.0,101.0,60.0,101.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,19.448650338776723,80.0,106.0,80.0,106.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,35.04639781775011,61.0,107.0,61.0,107.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,25.480384612481814,58.0,136.0,60.0,134.0,0.19215688109397897,0.149019613862038,0.083,0.015949021130800253,51.848336521049546,0.309,0.234,0.492,0.384,0.383,0.325,0.517,0.434,0.367,0.3,0.258,0.183,0.634,0.559
61.0,80.0,61.0,80.0,0.172549024224281,0.172549024224281,0.091,0.01570196120440957,7.433034373659253,67.0,120.0,67.0,120.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,39.68941924493227,37.0,130.0,41.0,127.0,0.19215688109397897,0.152941182255745,0.083,0.015949021130800253,46.360004314063644,58.0,105.0,58.0,105.0,0.176470592617989,0.176470592617989,0.074,0.013058823853731185,22.85278976405288,43.0,131.0,57.2717132568359,121.942749023437,0.19607844948768602,0.125490203499794,0.075,0.01470588371157645,39.57820812215728,8.0,117.0,8.0,117.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,57.5,32.0,67.0,32.0,67.0,0.172549024224281,0.172549024224281,0.075,0.012941176816821075,26.911893281595777,97.0,113.0,97.0,113.0,0.18823531270027202,0.18823531270027202,0.099,0.018635295957326933,52.718592545704404,0.35,0.259,0.475,0.375,0.334,0.251,0.433,0.359,0.383,0.308,0.317,0.25,0.726,0.651
58.0,82.0,58.0,82.0,0.15686275064945202,0.15686275064945202,0.083,0.013019608303904518,4.031128874149275,36.0,129.0,36.0,129.0,0.18431372940540303,0.18431372940540303,0.117,0.021564706340432154,49.86231041578399,43.0,97.0,43.0,97.0,0.18823531270027202,0.18823531270027202,0.058,0.010917648136615778,18.200274723201296,39.0,124.0,39.0,124.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,44.127655727446026,100.0,94.0,100.0,94.0,0.176470592617989,0.176470592617989,0.033,0.005823529556393638,47.415714694603096,15.0,156.0,15.0,156.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,83.20606949015198,37.0,112.0,37.0,112.0,0.168627455830574,0.168627455830574,0.083,0.013996078833937643,34.04776057246644,35.0,101.0,35.0,101.0,0.19607844948768602,0.19607844948768602,0.041,0.008039216428995128,26.51886121235224,0.341,0.258,0.467,0.35,0.325,0.267,0.459,0.384,0.8,0.767,0.809,0.734,0.684,0.601
60.0,93.0,60.0,93.0,0.176470592617989,0.176470592617989,0.099,0.01747058866918091,12.093386622447824,51.0,79.0,41.0,79.0,0.176470592617989,0.18431372940540303,0.075,0.013235294446349175,13.46291201783626,31.0,103.0,31.0,103.0,0.19607844948768602,0.19607844948768602,0.058,0.01137255007028579,30.80990100600779,54.0,118.0,54.0,118.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,35.5,28.0,128.0,28.0,128.0,0.180392161011696,0.180392161011696,0.074,0.013349019914865503,52.40467536394057,63.0,128.0,63.0,128.0,0.176470592617989,0.176470592617989,0.092,0.01623529452085499,46.38156961552724,38.0,106.0,38.0,106.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,28.429737951659,50.0,131.0,77.0,127.0,0.19215688109397897,0.149019613862038,0.091,0.017486276179552087,50.092414595425524,0.325,0.226,0.575,0.5,0.35,0.292,0.568,0.493,0.416,0.342,0.259,0.167,0.617,0.534
41.0,74.0,41.0,74.0,0.125490203499794,0.125490203499794,0.117,0.0146823538094759,15.532224567009067,61.0,91.0,61.0,91.0,0.18431372940540303,0.18431372940540303,0.099,0.0182470592111349,11.01135777277262,34.0,105.0,36.0,104.0,0.19607844948768602,0.172549024224281,0.075,0.01470588371157645,28.040149785619906,55.0,110.0,55.0,110.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,27.518175811634027,23.0,109.0,23.0,109.0,0.18431372940540303,0.18431372940540303,0.049,0.009031372740864749,40.7829621288106,81.0,79.0,80.02349853515629,81.929443359375,0.172549024224281,0.172549024224281,0.074,0.012768627792596793,26.029752416983207,37.0,118.0,37.0,118.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,39.3605132080363,55.0,95.0,55.0,95.0,0.20000001788139302,0.20000001788139302,0.082,0.01640000146627423,12.539936203984453,0.375,0.258,0.483,0.384,0.292,0.217,0.484,0.401,0.4,0.351,0.258,0.184,0.668,0.585
